,serum,virus,replicate,concentration,fraction infectivity,cells,,,,,,,
94,99C-day-27,post-depletion,2,9.77E-06,0.975625527,medium,,,,,,,
95,99C-day-27,post-depletion,2,2.44E-06,0.913407465,medium,,,,,,,
96,108C-day-18,pre-depletion,1,0.04,1.79E-05,medium,,,,,,,
97,108C-day-18,pre-depletion,1,0.01,1.67E-05,medium,,,,,,,
98,108C-day-18,pre-depletion,1,0.0025,1.70E-05,medium,,,,,,,
99,108C-day-18,pre-depletion,1,0.000625,0.002410469,medium,,,,,,,
100,108C-day-18,pre-depletion,1,0.0001563,0.249738711,medium,,,,,,,
101,108C-day-18,pre-depletion,1,3.91E-05,0.716774805,medium,,,,,,,
102,108C-day-18,pre-depletion,1,9.77E-06,0.870783087,medium,,,,,,,
103,108C-day-18,pre-depletion,1,2.44E-06,0.804619252,medium,,,,,,,
104,108C-day-18,pre-depletion,2,0.04,1.26E-05,medium,,,,,,,
105,108C-day-18,pre-depletion,2,0.01,1.13E-05,medium,,,,,,,
106,108C-day-18,pre-depletion,2,0.0025,4.57E-06,medium,,,,,,,
107,108C-day-18,pre-depletion,2,0.000625,0.001828635,medium,,,,,,,
108,108C-day-18,pre-depletion,2,0.0001563,0.245313407,medium,,,,,,,
109,108C-day-18,pre-depletion,2,3.91E-05,0.703244726,medium,,,,,,,
110,108C-day-18,pre-depletion,2,9.77E-06,0.908860541,medium,,,,,,,
111,108C-day-18,pre-depletion,2,2.44E-06,0.888613461,medium,,,,,,,
112,108C-day-18,post-depletion,1,0.04,0.04578306,medium,,,,,,,
113,108C-day-18,post-depletion,1,0.01,0.168485892,medium,,,,,,,
114,108C-day-18,post-depletion,1,0.0025,0.307728861,medium,,,,,,,
115,108C-day-18,post-depletion,1,0.000625,0.479691067,medium,,,,,,,
116,108C-day-18,post-depletion,1,0.0001563,0.79306723,medium,,,,,,,
117,108C-day-18,post-depletion,1,3.91E-05,0.899288161,medium,,,,,,,
118,108C-day-18,post-depletion,1,9.77E-06,0.955980245,medium,,,,,,,
119,108C-day-18,post-depletion,1,2.44E-06,0.892160138,medium,,,,,,,
120,108C-day-18,post-depletion,2,0.04,0.050498746,medium,,,,,,,
121,108C-day-18,post-depletion,2,0.01,0.17316627,medium,,,,,,,
122,108C-day-18,post-depletion,2,0.0025,0.317464212,medium,,,,,,,
123,108C-day-18,post-depletion,2,0.000625,0.513050338,medium,,,,,,,
124,108C-day-18,post-depletion,2,0.0001563,0.805730183,medium,,,,,,,
125,108C-day-18,post-depletion,2,3.91E-05,0.844434166,medium,,,,,,,
126,108C-day-18,post-depletion,2,9.77E-06,0.88851244,medium,,,,,,,
127,108C-day-18,post-depletion,2,2.44E-06,0.859699944,medium,,,,,,,
128,120C-day-10,pre-depletion,1,0.04,5.61E-06,medium,,,,,,,
129,120C-day-10,pre-depletion,1,0.01,3.41E-06,medium,,,,,,,
130,120C-day-10,pre-depletion,1,0.0025,4.09E-06,medium,,,,,,,
131,120C-day-10,pre-depletion,1,0.000625,0.002898622,medium,,,,,,,
132,120C-day-10,pre-depletion,1,0.0001563,0.129065094,medium,,,,,,,
133,120C-day-10,pre-depletion,1,3.91E-05,0.57563056,medium,,,,,,,
134,120C-day-10,pre-depletion,1,9.77E-06,0.907224028,medium,,,,,,,
135,120C-day-10,pre-depletion,1,2.44E-06,0.844144731,medium,,,,,,,
136,120C-day-10,pre-depletion,2,0.04,5.20E-06,medium,,,,,,,
137,120C-day-10,pre-depletion,2,0.01,4.40E-06,medium,,,,,,,
138,120C-day-10,pre-depletion,2,0.0025,4.61E-06,medium,,,,,,,
139,120C-day-10,pre-depletion,2,0.000625,0.001592763,medium,,,,,,,
140,120C-day-10,pre-depletion,2,0.0001563,0.136476435,medium,,,,,,,
141,120C-day-10,pre-depletion,2,3.91E-05,0.532488697,medium,,,,,,,
142,120C-day-10,pre-depletion,2,9.77E-06,0.836879543,medium,,,,,,,
143,120C-day-10,pre-depletion,2,2.44E-06,0.835200656,medium,,,,,,,
144,120C-day-10,post-depletion,1,0.04,0.055290512,medium,,,,,,,
145,120C-day-10,post-depletion,1,0.01,0.152126859,medium,,,,,,,
146,120C-day-10,post-depletion,1,0.0025,0.307694242,medium,,,,,,,
147,120C-day-10,post-depletion,1,0.000625,0.478568592,medium,,,,,,,
148,120C-day-10,post-depletion,1,0.0001563,0.577771503,medium,,,,,,,
149,120C-day-10,post-depletion,1,3.91E-05,0.823009112,medium,,,,,,,
150,120C-day-10,post-depletion,1,9.77E-06,0.943959723,medium,,,,,,,
151,120C-day-10,post-depletion,1,2.44E-06,0.8549132,medium,,,,,,,
152,120C-day-10,post-depletion,2,0.04,0.046016977,medium,,,,,,,
153,120C-day-10,post-depletion,2,0.01,0.160219872,medium,,,,,,,
154,120C-day-10,post-depletion,2,0.0025,0.293809379,medium,,,,,,,
155,120C-day-10,post-depletion,2,0.000625,0.462868766,medium,,,,,,,
156,120C-day-10,post-depletion,2,0.0001563,0.559024843,medium,,,,,,,
157,120C-day-10,post-depletion,2,3.91E-05,0.803284854,medium,,,,,,,
158,120C-day-10,post-depletion,2,9.77E-06,0.897987235,medium,,,,,,,
159,120C-day-10,post-depletion,2,2.44E-06,0.84017623,medium,,,,,,,
160,180C-day-36,pre-depletion,1,0.04,1.05E-05,medium,,,,,,,
161,180C-day-36,pre-depletion,1,0.01,7.87E-06,medium,,,,,,,
162,180C-day-36,pre-depletion,1,0.0025,1.49E-06,medium,,,,,,,
163,180C-day-36,pre-depletion,1,0.000625,0.008595425,medium,,,,,,,
164,180C-day-36,pre-depletion,1,0.0001563,0.22204374,medium,,,,,,,
165,180C-day-36,pre-depletion,1,3.91E-05,0.610253794,medium,,,,,,,
166,180C-day-36,pre-depletion,1,9.77E-06,0.835463242,medium,,,,,,,
167,180C-day-36,pre-depletion,1,2.44E-06,0.826675618,medium,,,,,,,
168,180C-day-36,pre-depletion,2,0.04,3.99E-06,medium,,,,,,,
169,180C-day-36,pre-depletion,2,0.01,2.42E-06,medium,,,,,,,
170,180C-day-36,pre-depletion,2,0.0025,3.57E-06,medium,,,,,,,
171,180C-day-36,pre-depletion,2,0.000625,0.005528378,medium,,,,,,,
172,180C-day-36,pre-depletion,2,0.0001563,0.217534657,medium,,,,,,,
173,180C-day-36,pre-depletion,2,3.91E-05,0.610726706,medium,,,,,,,
174,180C-day-36,pre-depletion,2,9.77E-06,0.840242595,medium,,,,,,,
175,180C-day-36,pre-depletion,2,2.44E-06,0.825005399,medium,,,,,,,
176,180C-day-36,post-depletion,1,0.04,0.057421858,medium,,,,,,,
177,180C-day-36,post-depletion,1,0.01,0.170557858,medium,,,,,,,
178,180C-day-36,post-depletion,1,0.0025,0.307066704,medium,,,,,,,
179,180C-day-36,post-depletion,1,0.000625,0.460238463,medium,,,,,,,
180,180C-day-36,post-depletion,1,0.0001563,0.593872997,medium,,,,,,,
181,180C-day-36,post-depletion,1,3.91E-05,0.775174337,medium,,,,,,,
182,180C-day-36,post-depletion,1,9.77E-06,0.946313566,medium,,,,,,,
183,180C-day-36,post-depletion,1,2.44E-06,0.9055085,medium,,,,,,,
184,180C-day-36,post-depletion,2,0.04,0.052949506,medium,,,,,,,
185,180C-day-36,post-depletion,2,0.01,0.167458744,medium,,,,,,,
186,180C-day-36,post-depletion,2,0.0025,0.304414615,medium,,,,,,,
187,180C-day-36,post-depletion,2,0.000625,0.452613754,medium,,,,,,,
188,180C-day-36,post-depletion,2,0.0001563,0.63731988,medium,,,,,,,
189,180C-day-36,post-depletion,2,3.91E-05,0.797392693,medium,,,,,,,
190,180C-day-36,post-depletion,2,9.77E-06,0.940976152,medium,,,,,,,
191,180C-day-36,post-depletion,2,2.44E-06,0.863060215,medium,,,,,,,
192,215C-day-19,pre-depletion,1,0.04,1.82E-06,medium,,,,,,,
193,215C-day-19,pre-depletion,1,0.01,-6.77E-07,medium,,,,,,,
194,215C-day-19,pre-depletion,1,0.0025,3.00E-06,medium,,,,,,,
195,215C-day-19,pre-depletion,1,0.000625,0.019378151,medium,,,,,,,
196,215C-day-19,pre-depletion,1,0.0001563,0.461937223,medium,,,,,,,
197,215C-day-19,pre-depletion,1,3.91E-05,0.870617108,medium,,,,,,,
198,215C-day-19,pre-depletion,1,9.77E-06,1.063092426,medium,,,,,,,
199,215C-day-19,pre-depletion,1,2.44E-06,0.915793686,medium,,,,,,,
200,215C-day-19,pre-depletion,2,0.04,-5.85E-07,medium,,,,,,,
201,215C-day-19,pre-depletion,2,0.01,-2.35E-06,medium,,,,,,,
202,215C-day-19,pre-depletion,2,0.0025,-9.74E-07,medium,,,,,,,
203,215C-day-19,pre-depletion,2,0.000625,0.019531489,medium,,,,,,,
204,215C-day-19,pre-depletion,2,0.0001563,0.463674634,medium,,,,,,,
205,215C-day-19,pre-depletion,2,3.91E-05,0.819524421,medium,,,,,,,
206,215C-day-19,pre-depletion,2,9.77E-06,1.081162783,medium,,,,,,,
207,215C-day-19,pre-depletion,2,2.44E-06,0.971175955,medium,,,,,,,
208,215C-day-19,post-depletion,1,0.04,0.124935209,medium,,,,,,,
209,215C-day-19,post-depletion,1,0.01,0.322230265,medium,,,,,,,
210,215C-day-19,post-depletion,1,0.0025,0.536682139,medium,,,,,,,
211,215C-day-19,post-depletion,1,0.000625,0.817819893,medium,,,,,,,
212,215C-day-19,post-depletion,1,0.0001563,0.966044983,medium,,,,,,,
213,215C-day-19,post-depletion,1,3.91E-05,0.979213247,medium,,,,,,,
214,215C-day-19,post-depletion,1,9.77E-06,1.195426605,medium,,,,,,,
215,215C-day-19,post-depletion,1,2.44E-06,1.016400166,medium,,,,,,,
216,215C-day-19,post-depletion,2,0.04,0.134429087,medium,,,,,,,
217,215C-day-19,post-depletion,2,0.01,0.320264185,medium,,,,,,,
218,215C-day-19,post-depletion,2,0.0025,0.5245592,medium,,,,,,,
219,215C-day-19,post-depletion,2,0.000625,0.807177077,medium,,,,,,,
220,215C-day-19,post-depletion,2,0.0001563,0.963655787,medium,,,,,,,
221,215C-day-19,post-depletion,2,3.91E-05,0.955486269,medium,,,,,,,
222,215C-day-19,post-depletion,2,9.77E-06,1.175550244,medium,,,,,,,
223,215C-day-19,post-depletion,2,2.44E-06,0.968472326,medium,,,,,,,
224,229C-day-29,pre-depletion,1,0.04,1.34E-06,medium,,,,,,,
225,229C-day-29,pre-depletion,1,0.01,-2.07E-06,medium,,,,,,,
226,229C-day-29,pre-depletion,1,0.0025,0.000199323,medium,,,,,,,
227,229C-day-29,pre-depletion,1,0.000625,0.011001051,medium,,,,,,,
228,229C-day-29,pre-depletion,1,0.0001563,0.327220884,medium,,,,,,,
229,229C-day-29,pre-depletion,1,3.91E-05,0.738793561,medium,,,,,,,
230,229C-day-29,pre-depletion,1,9.77E-06,1.018065403,medium,,,,,,,
231,229C-day-29,pre-depletion,1,2.44E-06,0.958141818,medium,,,,,,,
232,229C-day-29,pre-depletion,2,0.04,-2.03E-06,medium,,,,,,,
233,229C-day-29,pre-depletion,2,0.01,1.28E-06,medium,,,,,,,
234,229C-day-29,pre-depletion,2,0.0025,-3.53E-06,medium,,,,,,,
235,229C-day-29,pre-depletion,2,0.000625,0.009380776,medium,,,,,,,
236,229C-day-29,pre-depletion,2,0.0001563,0.338103533,medium,,,,,,,
237,229C-day-29,pre-depletion,2,3.91E-05,0.744050668,medium,,,,,,,
238,229C-day-29,pre-depletion,2,9.77E-06,1.032165183,medium,,,,,,,
239,229C-day-29,pre-depletion,2,2.44E-06,0.945319209,medium,,,,,,,
240,229C-day-29,post-depletion,1,0.04,0.13181169,medium,,,,,,,
241,229C-day-29,post-depletion,1,0.01,0.32685814,medium,,,,,,,
242,229C-day-29,post-depletion,1,0.0025,0.510640123,medium,,,,,,,
243,229C-day-29,post-depletion,1,0.000625,0.772186975,medium,,,,,,,
244,229C-day-29,post-depletion,1,0.0001563,0.834542986,medium,,,,,,,
245,229C-day-29,post-depletion,1,3.91E-05,0.932892909,medium,,,,,,,
246,229C-day-29,post-depletion,1,9.77E-06,1.117618313,medium,,,,,,,
247,229C-day-29,post-depletion,1,2.44E-06,1.020050656,medium,,,,,,,
248,229C-day-29,post-depletion,2,0.04,0.120326383,medium,,,,,,,
249,229C-day-29,post-depletion,2,0.01,0.301904716,medium,,,,,,,
250,229C-day-29,post-depletion,2,0.0025,0.474885833,medium,,,,,,,
251,229C-day-29,post-depletion,2,0.000625,0.658619785,medium,,,,,,,
252,229C-day-29,post-depletion,2,0.0001563,0.867828931,medium,,,,,,,
253,229C-day-29,post-depletion,2,3.91E-05,0.987753867,medium,,,,,,,
254,229C-day-29,post-depletion,2,9.77E-06,1.096632808,medium,,,,,,,
255,229C-day-29,post-depletion,2,2.44E-06,1.007263183,medium,,,,,,,
